otu	accession
MLAW01000094.181.1675	MLAW01000094
MNUR01000070.3378.4895	MNUR01000070
MNVB01000064.3653.5151	MNVB01000064
MNWJ01000041.315.1840	MNWJ01000041
MNWM01000025.8427.9769	MNWM01000025
MNWN01000015.28951.30462	MNWN01000015
MNWT01000005.126927.128460	MNWT01000005
MNXB01000105.15058.16643	MNXB01000105
MNXI01000065.10291.11835	MNXI01000065
MNXM01000314.15351.16726	MNXM01000314
MNXN01000406.14791.16342	MNXN01000406
MNXR01000004.24028.25496	MNXR01000004
MNXS01000038.18004.19865	MNXS01000038
MNYD01000108.2079.3595	MNYD01000108
MNYS01000006.126767.128533	MNYS01000006
MNYV01000050.14571.15926	MNYV01000050
MNYX01000024.42.1533	MNYX01000024
MNZB01000003.188030.189564	MNZB01000003
MNZI01000019.18300.19881	MNZI01000019
MNZJ01000031.6394.7955	MNZJ01000031
MNZM01000024.9533.11149	MNZM01000024
MNZN01000008.36435.37947	MNZN01000008
MNZO01000023.8601.9911	MNZO01000023
MNZU01000010.3802.5288	MNZU01000010
MNZY01000038.10559.12029	MNZY01000038
MOYA01000001.246169.247640	MOYA01000001
MOYD01000062.205.1704	MOYD01000062
MTOJ01000048.1.1447	MTOJ01000048
U17356.1.1750	U17356
U25627.1.1559	U25627
U45990.1.1505	U45990
U50168.1.1478	U50168
U53132.1.1770	U53132
U53824.1.1405	U53824
U64459.1.1503	U64459
U87101.1.1462	U87101
U87759.1.1401	U87759
U89300.1.1491	U89300
U93332.1.1482	U93332
U96412.1.1468	U96412
X14835.987.2495	X14835
X59733.1.1826	X59733
X60418.1.1499	X60418
X70803.22.1792	X70803
X72377.1.1445	X72377
X74686.1.1466	X74686
X76441.1.1502	X76441
X77215.1.1501	X77215
X79412.1.1473	X79412
X80994.2.1544	X80994
X81319.1.1511	X81319
X87278.1.1477	X87278
X89525.1.1791	X89525
X91032.1.1513	X91032
X91034.1.1511	X91034
X93021.1.1546	X93021
X99234.1.1503	X99234
Y13299.1.1519	Y13299
Y15403.1.1423	Y15403
Y15711.1.1547	Y15711
Y16546.1.1511	Y16546
Y17060.1.1530	Y17060
Y17112.1.1395	Y17112
Y17601.1.1496	Y17601
Y17602.1.1490	Y17602
Y18214.1.1507	Y18214
Y19155.1.1797	Y19155
Z21632.1.1445	Z21632
Z29583.1.1418	Z29583
Z36296.1.1498	Z36296
Z96096.1.1497	Z96096
